Articles from the readers	Artículos de los lectores
Articles from the readers	Artículos de los lectores
How large is Orvonton, really?	Cómo es de grande Orvonton
Viewing Orvonton	Observando Orvonton
Scientific Predictions of The Urantia Book|This article is a 2017 update from original article published in Fellowship Herald, Vol 2. No. 1 and 2	Predicciones científicas de El Libro de Urantia|Este artículo es una actualización de 2017 del artículo original publicado en Fellowship Herald, Vol 2. No. 1 y 2
A Letter to Astronomers and Astrophysicists – 2016	Carta para astrónomos y astrofísicos – 2016
