Index of International Urantia Association's “Journal” articles	https://urantia-association.org/journal-online-archives/	is-title	Journal
Journal Editorial – November 2020	/en/article/Suzanne_Kelly/journal_editorial_november_2020	Suzanne Kelly	IUA
Jesus and Politics:	/en/article/Richard_Jernigan/jesus_and_politics_2	Richard Jernigan	Civilization & Society, Jesus life, Jesus teachings, IUA
Living the Gospel and Proclaiming with Power in the 21st Century	/en/article/Jeff_Wattles/living_the_gospel_2	Jeff Wattles	Jesus life, Jesus teachings, Philosophy, Religion, IUA
To Be as Masterful a Teacher as the Master	/en/article/Andre_Radatus/masterful_a_teacher_2	André Radatus	Jesus life, Jesus teachings, Education, Leadership Development, IUA
Comprehension – Advancing Brilliance from Insight	/en/article/Mark_Kurtz/comprehension	Mark Kurtz	Self Development, IUA
Implantation of Life on a Planet	/en/article/Claude_Flibotte/implantation_of_life	Claude Flibotte	Celestial Beings, Evolution, Science, Cosmology, IUA
2021	---	is-volume	---
Journal — May 2021	/image/article/IUA_Journal/covers/2021_05.jpg	is-issue	--------------------------------------------------------
Journal — May 2021 — Content	/en/article/IUA_Journal/2021_05	---	IUA
No Appointments, No Disappointments	/en/article/Christopher_Ross/no_appointments_no_disappointments	Christopher Ross	Philosophy, Religion, Spiritual Growth, Adversity, IUA
Making Worship and Service the Center of Our Lives	/en/article/Kathleen_Swadling/making_worship_and_service	Kathleen Swadling	Prayer, Worship, Service, Religion, Spiritual Growth, IUA
Preparing for Spontaneity	/en/article/Chris_Wood/preparing_for_spontaneity	Chris Wood	Dissemination, Philosophy, Religion, Self Development, IUA
Millennials and the Church	/en/article/Bruce_Jackson/millennials_and_the_church	Bruce Jackson	Civilization & Society, Philosophy, Religion, IUA
Journal — November 2021	/image/article/IUA_Journal/covers/2021_11.jpg	is-issue	--------------------------------------------------------
Journal — November 2021 — Content	/en/article/IUA_Journal/2021_11	---	IUA
Editor’s Note — November 2021	/en/article/IUA_Journal/journal_editorial_november_2021	---	IUA
Safe and True	/en/article/David_Kulieke/safe_and_true	David Kulieke	Dissemination, Education, IUA
A Urantian in Second Life	/en/article/Jean_Ascher/a_urantian_in_second_life	Jean Ascher	Dissemination, IUA
Application of Scientific Thinking to Cosmology in The Urantia Book	/en/article/William_Wentworth/application_of_scientific_thinking_to_cosmology_in_the_urantia_book	William Wentworth	Science, Cosmology, IUA
A Cosmic Vision	/en/article/Claude_Flibotte/a_cosmic_vision	Claude Flibotte	Celestial beings, Science, Cosmology, IUA
2022	---	is-volume	---
Journal — May 2022	/image/article/IUA_Journal/covers/2022_05.jpg	is-issue	--------------------------------------------------------
Journal — May 2022 — Content	/en/article/IUA_Journal/2022_05	---	IUA
Editor’s Note — May 2022	/en/article/IUA_Journal/editors_note_may_2022	---	IUA
Legacy and Inspiration	/en/article/Neal_Waldrop/legacy_and_inspiration	Neal Waldrop	Ascendant Career, Christianity, Philosophy, Religion, Spiritual Growth, History, IUA
The What Book?	/en/article/Christopher_Ross/the_what_book	Christopher Ross	Philosophy, Religion, IUA
The Hazards of a Decimal Planet	/en/article/Claude_Flibotte/hazards_decimal_planet	Claude Flibotte	Evolution, Science, Cosmology, IUA
Why Participate in a Study Group?	/en/article/Gaetan_Charland/why_participate_in_study_group	Gaétan Charland	Study Groups, IUA
Journal — November 2022	/image/article/IUA_Journal/covers/2022_11.jpg	is-issue	--------------------------------------------------------
Journal — November 2022 — Content	/en/article/IUA_Journal/2022_11	---	IUA
Editor’s Note – November 2022	/en/article/Mark_Blackham/editors_note_november_2022	Mark Blackham	IUA
Our Missing Mother God – Monotheism at the Cost of Trinitarianism	/en/article/Elisabeth_Callahan/our_missing_mother_god	Elisabeth Callahan	Advanced Studies, Celestial beings, Civilization & Society, Philosophy, Religion, Revelation, IUA
My Relationship to God – My Mother and Father	/en/article/Kurt_Cira/my_relationship_to_god	Kurt Cira	Celestial beings, Philosophy, Religion, Spiritual Growth, IUA
The Psychic Circles and Morontia Life	/en/article/Andre_Desjardins/the_psychic_circles_and_morontia_life	André Desjardins	Ascendant Career, Evolution, Spiritual Growth, IUA
The Word, the Language, the Dictionary	/en/article/Peter_Walker/the_word_the_language_the_dictionary_2	Peter Walker	The Urantia Book—Authorship, Source authors, IUA
2023	---	is-volume	---
Journal — May 2023	/image/article/IUA_Journal/covers/2023_05.jpg	is-issue	--------------------------------------------------------
Journal — May 2023 — Content	/en/article/IUA_Journal/2023_05	---	IUA
Journal Editorial – May 2023	/en/article/Mark_Blackham/journal_editorial_may_2023	Mark Blackham	IUA
Getting To Know Ourselves Better	/en/article/Helena_Banas/getting_to_know_ourselves_better	Helena Bañas	Advanced Studies, Science, Psychology, Self Development, IUA
The Ideological Struggle	/en/article/Zshonette_Reed/the_ideological_struggle	Zshonette Reed	Philosophy, Religion, Revelation, IUA
Birth of the Spirit and Spiritual Maturity	/en/article/Mamadou_Doudou_Diagne/birth_of_the_spirit_and_spiritual_maturity	Mamadou Doudou Diagne	Philosophy, Religion, Revelation, IUA
My Lord and My God!	/en/article/Christopher_Ross/my_lord_and_my_god	Christopher Ross	Spiritual Growth, IUA
The Next Life	/en/article/Mark_Blackham/the_next_life	Mark Blackham	Ascendant Career, Self Development, IUA
