Index of Six-0-Six articles	https://anzura.urantia-association.org/2021/02/10/a-bit-of-history/	is-title	6-0-6
Volume 7, 1986	---	is-volume	---
Vol 7 No 1 Feb 1986	/image/article/606/covers/Vol7_1.jpg	is-issue	--------------------------------------------------------
Vol 7 No 1 Feb 1986	/en/article/606/Vol7_1	---	
Vol 7 No 2 March 1986	/image/article/606/covers/Vol7_2.jpg	is-issue	--------------------------------------------------------
Vol 7 No 2 March 1986	/en/article/606/Vol7_2	---	
Vol 7 No 3 April 1986	/image/article/606/covers/Vol7_3.jpg	is-issue	--------------------------------------------------------
Vol 7 No 3 April 1986	/en/article/606/Vol7_3	---	
Vol 7 No 4 May 1986	/image/article/606/covers/Vol7_4.jpg	is-issue	--------------------------------------------------------
Vol 7 No 4 May 1986	/en/article/606/Vol7_4	---	
Vol 7 No 5 June 1986	/image/article/606/covers/Vol7_5.jpg	is-issue	--------------------------------------------------------
Vol 7 No 5 June 1986	/en/article/606/Vol7_5	---	
Vol 7 No 6 July 1986	/image/article/606/covers/Vol7_6.jpg	is-issue	--------------------------------------------------------
Vol 7 No 6 July 1986	/en/article/606/Vol7_6	---	
Vol 7 No 7 Sept 1986	/image/article/606/covers/Vol7_7.jpg	is-issue	--------------------------------------------------------
Vol 7 No 7 Sept 1986	/en/article/606/Vol7_7	---	
Vol 7 No 8 Nov 1986	/image/article/606/covers/Vol7_8.jpg	is-issue	--------------------------------------------------------
Vol 7 No 8 Nov 1986	/en/article/606/Vol7_8	---	
John the Revelator	/en/article/Trevor_Swadling/John_The_Revelator	Trevor Swadling	Jesus' followers
Volume 8, 1987	---	is-volume	---
Vol 8 No 1 Jan 1987	/image/article/606/covers/Vol8_1.jpg	is-issue	--------------------------------------------------------
Vol 8 No 1 Jan 1987	/en/article/606/Vol8_1	---	
Vol 8 No 2 March 1987	/image/article/606/covers/Vol8_2.jpg	is-issue	--------------------------------------------------------
Vol 8 No 2 March 1987	/en/article/606/Vol8_2	---	
